Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Dell Laptop,80363,FIRE,2/4/2014,$57.00 ,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,2/13/2014,,76664,,,3606207343,"$3,000 ",$0.00 ,$43.89 ,General Fund,0
Canon Image Runner 10231F,80364,HEALTH,2/4/2014,$47.09 ,$1.08 ,0.23,$10.83 ,$10.83 ,Successful,2/13/2014,,74391,,,3606207357,"$3,000 ",$0.00 ,$36.26 ,General Fund,0
2 X-Ray View Boxes,80365,HEALTH,2/4/2014,$28.50 ,$0.66 ,0.23,$6.56 ,$6.56 ,Successful,2/20/2014,,"74393, 74394",,,3606713625,"$3,000 ",$0.00 ,$21.95 ,General Fund,0
Toshiba DVD/VCR Combo,80366,HEALTH,2/4/2014,$37.00 ,$0.85 ,0.23,$8.51 ,$8.51 ,Successful,2/4/2014,,74380,,,3605525733,"$3,000 ",$0.00 ,$28.49 ,General Fund,0
Ricoh Printer,80367,HEALTH,2/4/2014,$4.51 ,$0.10 ,0.23,$1.04 ,$1.04 ,Successful,2/11/2014,,76301,,,3606071363,"$3,000 ",$0.00 ,$3.47 ,General Fund,0
HP Laser Jet 4Plus,80368,HEALTH,2/4/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/4/2014,,76305,,,3605524559,"$3,000 ",$0.00 ,$0.77 ,General Fund,0
Dell Optiplex 760,80369,ECD COMMUNICATIONS,2/4/2014,$20.01 ,$0.00 ,0.23,$4.60 ,$4.60 ,Successful,2/12/2014,,ECD-76135,,,Money Order,"$3,000 ",$0.00 ,$15.41 ,Enterprise,0
Dell Optiplex 760,80370,ECD COMMUNICATIONS,2/4/2014,$26.01 ,$0.00 ,0.23,$5.98 ,$5.98 ,Successful,2/12/2014,,ECD-76128,,,Money Order,"$3,000 ",$0.00 ,$20.03 ,Enterprise,0
Dell Optiplex 760,80371,ECD COMMUNICATIONS,2/4/2014,$24.00 ,$0.00 ,0.23,$5.52 ,$5.52 ,Successful,2/12/2014,,ECD-76132,,,Money Order,"$3,000 ",$0.00 ,$18.48 ,Enterprise,0
Dell Optiplex 760,80372,ECD COMMUNICATIONS,2/4/2014,$37.01 ,$0.85 ,0.23,$8.51 ,$8.51 ,Successful,2/4/2014,,ECD-76126,,,3605527536,"$3,000 ",$0.00 ,$28.50 ,Enterprise,0
Dell Optiplex 760,80373,ECD COMMUNICATIONS,2/4/2014,$24.00 ,$0.00 ,0.23,$5.52 ,$5.52 ,Successful,2/12/2014,,ECD-76129,,,Money Order,"$3,000 ",$0.00 ,$18.48 ,Enterprise,0
Dell Optiplex 760,80374,ECD COMMUNICATIONS,2/4/2014,$42.00 ,$0.00 ,0.23,$9.66 ,$9.66 ,Successful,2/12/2014,,ECD-76121,,,Money Order,"$3,000 ",$0.00 ,$32.34 ,Enterprise,0
Dell Optiplex 780,80375,ECD COMMUNICATIONS,2/4/2014,$65.00 ,$1.50 ,0.23,$14.95 ,$14.95 ,Successful,2/4/2014,,ECD-76137,,,3605532233,"$3,000 ",$0.00 ,$50.05 ,Enterprise,0
CLC 24 ft. Ladder,80376,SCHOOL BOARD WAREHOUSE,2/5/2014,$125.01 ,$2.88 ,0.23,$28.75 ,$28.75 ,Successful,2/5/2014,,SBS-6236,,,3605641073,"$3,000 ",$0.00 ,$96.26 ,Enterprise,0
Beverage-Air Milk Cooler,80377,SCHOOL BOARD WAREHOUSE,2/5/2014,$111.01 ,$2.55 ,0.23,$25.53 ,$25.53 ,Successful,2/5/2014,,SBS-6241,,,3605608099,"$3,000 ",$0.00 ,$85.48 ,Enterprise,0
Victory Refrigerator,80378,SCHOOL BOARD WAREHOUSE,2/5/2014,$209.00 ,$4.81 ,0.23,$48.07 ,$48.07 ,Successful,2/5/2014,,SBS-6244,,,3605608118,"$3,000 ",$0.00 ,$160.93 ,Enterprise,0
Freezer,80379,SCHOOL BOARD WAREHOUSE,2/5/2014,$100.00 ,$2.30 ,0.23,$23.00 ,$23.00 ,Successful,2/6/2014,,SBS-6243,,,3605697038,"$3,000 ",$0.00 ,$77.00 ,Enterprise,0
Victory Freezer,80380,SCHOOL BOARD WAREHOUSE,2/5/2014,$108.00 ,$2.48 ,0.23,$24.84 ,$24.84 ,Successful,2/6/2014,,SBS-6242,,,3605697048,"$3,000 ",$0.00 ,$83.16 ,Enterprise,0
Assorted Lock Sets,80381,SCHOOL BOARD WAREHOUSE,2/5/2014,$435.00 ,$10.00 ,0.23,$100.05 ,$100.05 ,Successful,2/5/2014,,SBS-6239,,,3605596174,"$3,000 ",$0.00 ,$334.95 ,Enterprise,0
3 Pallets of Paint,80382,SCHOOL BOARD WAREHOUSE,2/5/2014,$258.00 ,$0.00 ,0.23,$59.34 ,$59.34 ,Successful,2/13/2014,,SBS-6237,,,Money Order,"$3,000 ",$0.00 ,$198.66 ,Enterprise,0
"Makita 4-1/2"" Grinder",80383,SCHOOL BOARD WAREHOUSE,2/5/2014,$18.00 ,$0.41 ,0.23,$4.14 ,$4.14 ,Successful,2/19/2014,,SBS-6235,,,3606594246,"$3,000 ",$0.00 ,$13.86 ,Enterprise,0
"Black & Decker 10"" Miter Saw",80384,SCHOOL BOARD WAREHOUSE,2/5/2014,$91.88 ,$2.11 ,0.23,$21.13 ,$21.13 ,Successful,2/5/2014,,SBS-6234,,,3605618831,"$3,000 ",$0.00 ,$70.75 ,Enterprise,0
Newton Universal Sander,80385,SCHOOL BOARD WAREHOUSE,2/5/2014,$202.00 ,$4.65 ,0.23,$46.46 ,$46.46 ,Successful,2/6/2014,,SBS-6238,,,3605686814,"$3,000 ",$0.00 ,$155.54 ,Enterprise,0
Apollo Projector Screen,80386,SCHOOL BOARD WAREHOUSE,2/5/2014,$23.00 ,$0.53 ,0.23,$5.29 ,$5.29 ,Successful,2/5/2014,,SBS-6148C,,,3605616574,"$3,000 ",$0.00 ,$17.71 ,Enterprise,0
Apollo Projector Screen,80387,SCHOOL BOARD WAREHOUSE,2/5/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,2/12/2014,,SBS-6148D,,,3606115239,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Apollo Projector Screen,80388,SCHOOL BOARD WAREHOUSE,2/5/2014,$16.00 ,$0.37 ,0.23,$3.68 ,$3.68 ,Successful,2/6/2014,,SBS-6148E,,,3605657985,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
6 Projector Screens,80389,SCHOOL BOARD WAREHOUSE,2/5/2014,$18.00 ,$0.41 ,0.23,$4.14 ,$4.14 ,Successful,2/6/2014,,SBS-6148F,,,3605681075,"$3,000 ",$0.00 ,$13.86 ,Enterprise,0
Duo-Fast Finish Nailer,80390,SCHOOL BOARD WAREHOUSE,2/5/2014,$34.01 ,$0.78 ,0.23,$7.82 ,$7.82 ,Successful,2/6/2014,,SBS-6231A,,,3605714332,"$3,000 ",$0.00 ,$26.19 ,Enterprise,0
Macro Pick-a-Pak,80400,SCHOOL BOARD WAREHOUSE,2/5/2014,$26.01 ,$0.60 ,0.23,$5.98 ,$5.98 ,Successful,2/5/2014,,SBS-6231B,,,3605618842,"$3,000 ",$0.00 ,$20.03 ,Enterprise,0
Milwaukee 12v Reciprocating Saw,80402,SCHOOL BOARD WAREHOUSE,2/5/2014,$16.52 ,$0.38 ,0.23,$3.80 ,$3.80 ,Successful,2/5/2014,,SBS-6231D,,,3605598141,"$3,000 ",$0.00 ,$12.72 ,Enterprise,0
Milwaukee 18v Sawzall,80404,SCHOOL BOARD WAREHOUSE,2/5/2014,$11.01 ,$0.25 ,0.23,$2.53 ,$2.53 ,Successful,2/12/2014,,SBS-6231F,,,3606110337,"$3,000 ",$0.00 ,$8.48 ,Enterprise,0
Bosch Roto Hammer,80405,SCHOOL BOARD WAREHOUSE,2/5/2014,$24.00 ,$0.55 ,0.23,$5.52 ,$5.52 ,Successful,2/10/2014,,SBS-6231G,,,3605918797,"$3,000 ",$0.00 ,$18.48 ,Enterprise,0
2 DeWalt 18v Batteries w/Charger,80406,SCHOOL BOARD WAREHOUSE,2/5/2014,$54.01 ,$1.24 ,0.23,$12.42 ,$12.42 ,Successful,2/18/2014,,SBS-6231H,,,3606503563,"$3,000 ",$0.00 ,$41.59 ,Enterprise,0
Datamation Systems Laptop Cart,80407,SCHOOL BOARD WAREHOUSE,2/5/2014,$58.00 ,$1.33 ,0.23,$13.34 ,$13.34 ,Successful,2/5/2014,,SBS-6246,,,3605600495,"$3,000 ",$0.00 ,$44.66 ,Enterprise,0
25 Texas Instruments Calculators,80408,SCHOOL BOARD WAREHOUSE,2/5/2014,$236.99 ,$5.45 ,0.23,$54.51 ,$54.51 ,Successful,2/11/2014,,SBS-6157,,,3606071367,"$3,000 ",$0.00 ,$182.48 ,Enterprise,0
Haier Compact Refrigerator,80409,SCHOOL BOARD WAREHOUSE,2/5/2014,$33.00 ,$0.76 ,0.23,$7.59 ,$7.59 ,Successful,2/6/2014,,SBS-6233,,,3605663237,"$3,000 ",$0.00 ,$25.41 ,Enterprise,0
1 Pallet of Poster Board,80410,SCHOOL BOARD WAREHOUSE,2/5/2014,$160.00 ,$3.68 ,0.23,$36.80 ,$36.80 ,Successful,2/5/2014,,SBS-5643L,,,3605621888,"$3,000 ",$0.00 ,$123.20 ,Enterprise,0
1 Pallet of Poster Board,80411,SCHOOL BOARD WAREHOUSE,2/5/2014,$56.50 ,$1.30 ,0.23,$13.00 ,$13.00 ,Successful,2/5/2014,,SBS-5643M,,,3605632706,"$3,000 ",$0.00 ,$43.51 ,Enterprise,0
2005 John Deere Zero Turn Mower,80417,OFM-PARKS,2/6/2014,$725.01 ,$0.00 ,0.23,$166.75 ,$166.75 ,Successful,2/10/2014,80003407,,29 5289,,Cashiers Check,"$3,000 ",$0.00 ,$558.26 ,Enterprise,0
IT Rack,80423,HEALTH,2/6/2014,$11.50 ,$0.26 ,0.23,$2.65 ,$2.65 ,Successful,2/12/2014,,76603,,,3606115272,"$3,000 ",$0.00 ,$8.86 ,General Fund,0
8 Cell Phones,80424,ECD COMMUNICATIONS,2/6/2014,$79.35 ,$1.83 ,0.23,$18.25 ,$18.25 ,Successful,2/20/2014,,ECD-76152A,,,3606745770,"$3,000 ",$0.00 ,$61.10 ,Enterprise,0
13 Cell Phones,80425,ECD COMMUNICATIONS,2/6/2014,$83.05 ,$0.00 ,0.23,$19.10 ,$19.10 ,Successful,2/13/2014,,ECD-76152B,,,Cashiers Check,"$3,000 ",$0.00 ,$63.95 ,Enterprise,0
Dell Computer,80426,ECD COMMUNICATIONS,2/6/2014,$27.00 ,$0.00 ,0.23,$6.21 ,$6.21 ,Successful,2/12/2014,,ECD-76123,,,Money Order,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Dell Computer,80427,ECD COMMUNICATIONS,2/6/2014,$34.03 ,$0.00 ,0.23,$7.83 ,$7.83 ,Successful,2/12/2014,,ECD-76130,,,Money Order,"$3,000 ",$0.00 ,$26.20 ,Enterprise,0
Dell Computer,80428,ECD COMMUNICATIONS,2/6/2014,$30.03 ,$0.69 ,0.23,$6.91 ,$6.91 ,Successful,2/6/2014,,ECD-76133,,,3605676060,"$3,000 ",$0.00 ,$23.12 ,Enterprise,0
Dell Computer,80429,ECD COMMUNICATIONS,2/6/2014,$25.51 ,$0.00 ,0.23,$5.87 ,$5.87 ,Successful,2/12/2014,,ECD-76124,,,Money Order,"$3,000 ",$0.00 ,$19.64 ,Enterprise,0
Dell Computer,80430,ECD COMMUNICATIONS,2/6/2014,$25.51 ,$0.00 ,0.23,$5.87 ,$5.87 ,Successful,2/12/2014,,ECD-76122,,,Money Order,"$3,000 ",$0.00 ,$19.64 ,Enterprise,0
Dell Computer,80431,ECD COMMUNICATIONS,2/6/2014,$41.00 ,$0.00 ,0.23,$9.43 ,$9.43 ,Successful,2/12/2014,,ECD-76125,,,Money Order,"$3,000 ",$0.00 ,$31.57 ,Enterprise,0
Dell Computer,80432,ECD COMMUNICATIONS,2/6/2014,$45.00 ,$1.04 ,0.23,$10.35 ,$10.35 ,Successful,2/13/2014,,ECD-76131,,,3606209191,"$3,000 ",$0.00 ,$34.65 ,Enterprise,0
Dell Computer,80433,ECD COMMUNICATIONS,2/6/2014,$27.51 ,$0.63 ,0.23,$6.33 ,$6.33 ,Successful,2/13/2014,,ECD-76136,,,3606209202,"$3,000 ",$0.00 ,$21.18 ,Enterprise,0
Dell Computer,80434,ECD COMMUNICATIONS,2/6/2014,$42.00 ,$0.00 ,0.23,$9.66 ,$9.66 ,Successful,2/12/2014,,ECD-76127,,,Money Order,"$3,000 ",$0.00 ,$32.34 ,Enterprise,0
Dell Computer,80435,ECD COMMUNICATIONS,2/6/2014,$43.51 ,$1.00 ,0.23,$10.01 ,$10.01 ,Successful,2/13/2014,,ECD-76134,,,3606209210,"$3,000 ",$0.00 ,$33.50 ,Enterprise,0
PC Accessories,80436,ECD COMMUNICATIONS,2/6/2014,$57.00 ,$0.00 ,0.23,$13.11 ,$13.11 ,Successful,2/10/2014,,"ECD-76151, ECD-76153",,,Money Order,"$3,000 ",$0.00 ,$43.89 ,Enterprise,0
Dell Laptop,80437,ITS,2/6/2014,$47.00 ,$1.08 ,0.23,$10.81 ,$10.81 ,Successful,2/6/2014,,75408,,,3605684321,"$3,000 ",$0.00 ,$36.19 ,General Fund,0
Dell Laptop,80438,ITS,2/6/2014,$68.00 ,$1.56 ,0.23,$15.64 ,$15.64 ,Successful,2/6/2014,,75416,,,3605681825,"$3,000 ",$0.00 ,$52.36 ,General Fund,0
Dell Laptop,80439,ITS,2/6/2014,$47.00 ,$1.08 ,0.23,$10.81 ,$10.81 ,Successful,2/6/2014,,75418,,,3605684332,"$3,000 ",$0.00 ,$36.19 ,General Fund,0
Dell Laptop,80440,ITS,2/6/2014,$155.00 ,$3.56 ,0.23,$35.65 ,$35.65 ,Successful,2/6/2014,,75186,,,3605681843,"$3,000 ",$0.00 ,$119.35 ,General Fund,0
Dell Laptop,80442,ITS,2/6/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,2/18/2014,,75188,,,3606543907,"$3,000 ",$0.00 ,$47.74 ,General Fund,0
Dell Laptop,80443,ITS,2/6/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,2/18/2014,,75434,,,3606543921,"$3,000 ",$0.00 ,$47.74 ,General Fund,0
Dell Laptop,80444,ITS,2/6/2014,$51.00 ,$1.17 ,0.23,$11.73 ,$11.73 ,Successful,2/6/2014,,75438,,,3605684353,"$3,000 ",$0.00 ,$39.27 ,General Fund,0
Dell Laptop,80445,ITS,2/6/2014,$145.00 ,$3.34 ,0.23,$33.35 ,$33.35 ,Successful,2/18/2014,,75279,,,3606544717,"$3,000 ",$0.00 ,$111.65 ,General Fund,0
Dell Laptop,80446,ITS,2/6/2014,$47.26 ,$1.09 ,0.23,$10.87 ,$10.87 ,Successful,2/18/2014,,74561,,,3606520071,"$3,000 ",$0.00 ,$36.39 ,General Fund,0
Dell Laptop,80448,ITS,2/10/2014,$27.00 ,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,2/12/2014,,59577,,,3606167229,"$3,000 ",$0.00 ,$20.79 ,General Fund,0
Dell Laptop,80449,ITS,2/10/2014,$54.43 ,$1.25 ,0.23,$12.52 ,$12.52 ,Successful,2/12/2014,,59582,,,3606167235,"$3,000 ",$0.00 ,$41.91 ,General Fund,0
Fujitsu Life Book,80450,ITS,2/10/2014,$6.00 ,$0.14 ,0.23,$1.38 ,$1.38 ,Successful,2/13/2014,,74537,,,3606177941,"$3,000 ",$0.00 ,$4.62 ,General Fund,0
Frigidaire Washer/Dryer Combo,80455,METRO ACTION,2/10/2014,$12.00 ,$0.00 ,0.23,$2.76 ,$2.76 ,Successful,2/10/2014,,MAC-74084,,,Money Order,"$3,000 ",$0.00 ,$9.24 ,Enterprise,0
70 Kid Size Chairs,80456,METRO ACTION,2/10/2014,$291.00 ,$6.69 ,0.23,$66.93 ,$66.93 ,Successful,2/10/2014,,"MAC-74144, MAC-74145, MAC-74146, MAC-74148, MAC-74149, MAC-74150, MAC-74151",,,3605939687,"$3,000 ",$0.00 ,$224.07 ,Enterprise,0
"Dell 17"" Flat Screen Monitor",80457,HEALTH,2/10/2014,$13.00 ,$0.30 ,0.23,$2.99 ,$2.99 ,Successful,2/18/2014,,56741,,,3606544729,"$3,000 ",$0.00 ,$10.01 ,General Fund,0
"Snapper 21"" Self-Propelled Mower",80465,HEALTH,2/10/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,2/20/2014,,76054,,,3606712438,"$3,000 ",$0.00 ,$40.04 ,General Fund,0
"Snapper 21"" Self-Propelled Mower",80466,HEALTH,2/10/2014,$48.01 ,$1.10 ,0.23,$11.04 ,$11.04 ,Successful,2/20/2014,,76055,,,3606712455,"$3,000 ",$0.00 ,$36.97 ,General Fund,0
Poulan Chainsaw,80467,HEALTH,2/10/2014,$81.02 ,$1.86 ,0.23,$18.63 ,$18.63 ,Successful,2/10/2014,,76605,,,3605939824,"$3,000 ",$0.00 ,$62.39 ,General Fund,0
HP Laser Jet 4100n,80468,PUBLIC WORKS,2/10/2014,$30.00 ,$0.69 ,0.23,$6.90 ,$6.90 ,Successful,2/17/2014,,75060,,,3606480363,"$3,000 ",$0.00 ,$23.10 ,General Fund,0
Sony Cybershot Digital Camera,80469,PUBLIC WORKS,2/10/2014,$47.00 ,$1.08 ,0.23,$10.81 ,$10.81 ,Successful,2/10/2014,,75051,,,3605952019,"$3,000 ",$0.00 ,$36.19 ,General Fund,0
Sony Digital Camera,80470,PUBLIC WORKS,2/10/2014,$40.00 ,$0.92 ,0.23,$9.20 ,$9.20 ,Successful,2/10/2014,,75050,,,3605952034,"$3,000 ",$0.00 ,$30.80 ,General Fund,0
3 Dell Docking Stations,80472,PUBLIC WORKS,2/10/2014,$16.00 ,$0.00 ,0.23,$3.68 ,$3.68 ,Successful,2/10/2014,,"75052, 75053, 75054",,,Money Order,"$3,000 ",$0.00 ,$12.32 ,General Fund,0
Small CPU Desk,80473,GENERAL SERVICES,2/10/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/13/2014,,74501,,,3606233049,"$3,000 ",$0.00 ,$0.77 ,General Fund,0
Metal Folding Chair,80474,GENERAL SERVICES,2/10/2014,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,2/21/2014,,74739,,,3606780674,"$3,000 ",$0.00 ,$1.54 ,General Fund,0
Micro Centre CPU Desk,80475,GENERAL SERVICES,2/10/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/13/2014,,74498,,,3606233055,"$3,000 ",$0.00 ,$0.77 ,General Fund,0
Assorted Belts,80476,GENERAL SERVICES,2/10/2014,$18.00 ,$0.41 ,0.23,$4.14 ,$4.14 ,Successful,2/20/2014,,74776,,,3606715960,"$3,000 ",$0.00 ,$13.86 ,General Fund,0
HP Color Laser Jet 3500,80477,GENERAL SERVICES,2/10/2014,$115.01 ,$2.65 ,0.23,$26.45 ,$26.45 ,Successful,2/17/2014,,74782,,,3606480488,"$3,000 ",$0.00 ,$88.56 ,General Fund,0
3 Boxes of Door Hinges,80478,GENERAL SERVICES,2/10/2014,$47.76 ,$1.10 ,0.23,$10.98 ,$10.98 ,Successful,2/10/2014,,74781,,,3605946044,"$3,000 ",$0.00 ,$36.78 ,General Fund,0
2 Rugs,80479,GENERAL SERVICES,2/10/2014,$20.01 ,$0.46 ,0.23,$4.60 ,$4.60 ,Successful,2/10/2014,,"74768, 74770",,,3605952054,"$3,000 ",$0.00 ,$15.41 ,General Fund,0
Rug,80480,GENERAL SERVICES,2/10/2014,$17.01 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,2/10/2014,,74769,,,3605952064,"$3,000 ",$0.00 ,$13.10 ,General Fund,0
Table,80481,GENERAL SERVICES,2/10/2014,$11.50 ,$0.26 ,0.23,$2.65 ,$2.65 ,Successful,2/27/2014,,74771,,,3607304667,"$3,000 ",$0.00 ,$8.86 ,General Fund,0
Table,80482,GENERAL SERVICES,2/10/2014,$9.50 ,$0.22 ,0.23,$2.19 ,$2.19 ,Successful,2/27/2014,,74772,,,3607304699,"$3,000 ",$0.00 ,$7.32 ,General Fund,0
"Panasonic 20"" Television",80483,GENERAL SERVICES,2/10/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/11/2014,,74774,,,3606076242,"$3,000 ",$0.00 ,$0.77 ,General Fund,0
"Zenith 19"" Television",80484,GENERAL SERVICES,2/10/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/12/2014,,74775,,,3606122861,"$3,000 ",$0.00 ,$0.77 ,General Fund,0
Dell Server,80486,ITS,2/11/2014,$52.00 ,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,2/18/2014,,75017,,,3606505572,"$3,000 ",$0.00 ,$40.04 ,General Fund,0
Dell Server,80487,ITS,2/11/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/13/2014,231135,74893,,,3606198280,"$3,000 ",$0.00 ,$0.77 ,General Fund,0
Dell Server,80488,ITS,2/11/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/13/2014,230652,74891,,,3606198291,"$3,000 ",$0.00 ,$0.77 ,General Fund,0
Dell Server,80489,ITS,2/11/2014,$1.00 ,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,2/13/2014,226820,74892,,,3606198300,"$3,000 ",$0.00 ,$0.77 ,General Fund,0
2 Pair of Rubber Boots,80490,WATER SERVICES,2/11/2014,$17.00 ,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,2/12/2014,,WS-74887B,,,3606110355,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
3 Racks,80491,NASHVILLE CONVENTION CTR,2/11/2014,$22.01 ,$0.51 ,0.23,$5.06 ,$5.06 ,Successful,2/11/2014,,"NCC-76453, NCC-76452",,,3606073460,"$3,000 ",$0.00 ,$16.95 ,Enterprise,0
Floor Cleaner,80492,NASHVILLE CONVENTION CTR,2/11/2014,$274.99 ,$6.32 ,0.23,$63.25 ,$63.25 ,Successful,2/11/2014,,NCC-76414,,,3606030543,"$3,000 ",$0.00 ,$211.74 ,Enterprise,0
Vacuum,80493,NASHVILLE CONVENTION CTR,2/11/2014,$4.00 ,$0.09 ,0.23,$0.92 ,$0.92 ,Successful,2/13/2014,,NCC-76405,,,3606239132,"$3,000 ",$0.00 ,$3.08 ,Enterprise,0
Vacuum,80494,NASHVILLE CONVENTION CTR,2/11/2014,$42.02 ,$0.97 ,0.23,$9.66 ,$9.66 ,Successful,2/20/2014,,NCC-76409,,,3606712466,"$3,000 ",$0.00 ,$32.36 ,Enterprise,0
Vacuum,80495,NASHVILLE CONVENTION CTR,2/11/2014,$41.05 ,$0.94 ,0.23,$9.44 ,$9.44 ,Successful,2/20/2014,,NCC-76410,,,3606712484,"$3,000 ",$0.00 ,$31.61 ,Enterprise,0
Cart,80496,NASHVILLE CONVENTION CTR,2/11/2014,$12.00 ,$0.28 ,0.23,$2.76 ,$2.76 ,Successful,2/13/2014,,NCC-76380,,,3606196335,"$3,000 ",$0.00 ,$9.24 ,Enterprise,0
Cart,80497,NASHVILLE CONVENTION CTR,2/11/2014,$15.51 ,$0.36 ,0.23,$3.57 ,$3.57 ,Successful,2/13/2014,,NCC-76381,,,3606196381,"$3,000 ",$0.00 ,$11.94 ,Enterprise,0
Cart,80498,NASHVILLE CONVENTION CTR,2/11/2014,$15.00 ,$0.34 ,0.23,$3.45 ,$3.45 ,Successful,2/13/2014,,NCC-76382,,,3606180159,"$3,000 ",$0.00 ,$11.55 ,Enterprise,0
Cart,80499,NASHVILLE CONVENTION CTR,2/11/2014,$130.00 ,$2.99 ,0.23,$29.90 ,$29.90 ,Successful,2/20/2014,,NCC-76718,,,3606712501,"$3,000 ",$0.00 ,$100.10 ,Enterprise,0
Cart,80500,NASHVILLE CONVENTION CTR,2/11/2014,$103.00 ,$2.37 ,0.23,$23.69 ,$23.69 ,Successful,2/20/2014,,NCC-76717,,,3606712534,"$3,000 ",$0.00 ,$79.31 ,Enterprise,0
2 Carts w/Trash Cans,80501,NASHVILLE CONVENTION CTR,2/11/2014,$136.59 ,$3.14 ,0.23,$31.42 ,$31.42 ,Successful,2/11/2014,,"NCC-76464, NCC-76719, NCC-76720",,,3606036672,"$3,000 ",$0.00 ,$105.17 ,Enterprise,0
Desk & Chair,80502,NASHVILLE CONVENTION CTR,2/11/2014,$43.00 ,$0.99 ,0.23,$9.89 ,$9.89 ,Successful,2/11/2014,,"NCC-76467, NCC-76468",,,3606079987,"$3,000 ",$0.00 ,$33.11 ,Enterprise,0
Desk & Chair,80503,NASHVILLE CONVENTION CTR,2/11/2014,$3.36 ,$0.08 ,0.23,$0.77 ,$0.77 ,Successful,2/12/2014,,"NCC-76460, NCC-76469",,,3606095126,"$3,000 ",$0.00 ,$2.59 ,Enterprise,0
40 Chairs,80504,NASHVILLE CONVENTION CTR,2/11/2014,$775.00 ,$0.00 ,0.23,$178.25 ,$178.25 ,Successful,2/13/2014,,"NCC-76252, NCC-76251, NCC-76253, NCC-76254, NCC-76255, NCC-76256, NCC-76420, NCC-76421, NCC-76422, NCC-76423, NCC-76424, NCC-76425, NCC-76426, NCC-76427, NCC-76428, NCC-76429",,,Cashiers Check,"$3,000 ",$0.00 ,$596.75 ,Enterprise,0
Paint,80505,NASHVILLE CONVENTION CTR,2/11/2014,$16.00 ,$0.37 ,0.23,$3.68 ,$3.68 ,Successful,2/19/2014,,NCC-76463,,,3606594257,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
23 Tables,80506,NASHVILLE CONVENTION CTR,2/11/2014,$259.00 ,$5.96 ,0.23,$59.57 ,$59.57 ,Successful,2/19/2014,,"NCC-76230, NCC-76231, NCC-76242, NCC-76243, NCC-76244",,,3606594271,"$3,000 ",$0.00 ,$199.43 ,Enterprise,0
26 Tables,80507,NASHVILLE CONVENTION CTR,2/11/2014,$103.00 ,$0.00 ,0.23,$23.69 ,$23.69 ,Successful,2/13/2014,,"NCC-76232, NCC-76233, NCC-76245, NCC-76246, NCC-76247, NCC-76248, NCC-76249, NCC-76250",,,Money Order,"$3,000 ",$0.00 ,$79.31 ,Enterprise,0
1 Lot of Tables,80508,NASHVILLE CONVENTION CTR,2/11/2014,$395.00 ,$0.00 ,0.23,$90.85 ,$90.85 ,Successful,2/18/2014,,"NCC-76260, NCC-76261, NCC-76262, NCC-76263, NCC-76264, NCC-76265, NCC-76266, NCC-76267, NCC-76268, NCC-76269, NCC-76270, NCC-76271, NCC-76272, NCC-76273, NCC-76274, NCC-76275, NCC-76276, NCC-76277, NCC-76278, NCC-76416, NCC-76417, NCC-76418, NCC-76419, NC",,,Cashiers Check,"$3,000 ",$0.00 ,$304.15 ,Enterprise,0
Shelf,80509,NASHVILLE CONVENTION CTR,2/11/2014,$125.50 ,$2.89 ,0.23,$28.87 ,$28.87 ,Successful,2/11/2014,,NCC-76710,,,3606080127,"$3,000 ",$0.00 ,$96.64 ,Enterprise,0
Cabinet,80510,NASHVILLE CONVENTION CTR,2/11/2014,$15.52 ,$0.36 ,0.23,$3.57 ,$3.57 ,Successful,2/19/2014,,NCC-76713,,,3606616161,"$3,000 ",$0.00 ,$11.95 ,Enterprise,0
